ID,ACSTOTPOP,DEMOGIDX_2,DEMOGIDX_5,P_PM25,P_D2_PM25,P_D5_PM25,P_OZONE,P_D2_OZONE,P_D5_OZONE,P_DSLPM,P_D2_DSLPM,P_D5_DSLPM,P_CANCER,P_D2_CANCER,P_D5_CANCER,P_RESP,P_D2_RESP,P_D5_RESP,P_RSEIAIR,P_D2_RSEIAIR,P_D5_RSEIAIR,P_PTRAF,P_D2_PTRAF,P_D5_PTRAF,P_LDPNT,P_D2_LDPNT,P_D5_LDPNT,P_PNPL,P_D2_PNPL,P_D5_PNPL,P_PRMP,P_D2_PRMP,P_D5_PRMP,P_PTSDF,P_D2_PTSDF,P_D5_PTSDF,P_UST,P_D2_UST,P_D5_UST,P_PWDIS,P_D2_PWDIS,P_D5_PWDIS
24031703223,6020,0.481146179401993,0.105200201034955,30,52,39,42,63,48,60,71,60,17,69,58,50,75,69,34,55,38,40,56,45,16,34,21,40,59,46,34,54,40,15,31,21,24,42,31,14,25,15
24031703301,4987,0.478199288147155,0.145812521061601,30,52,50,35,55,53,75,78,80,17,69,75,50,74,80,24,43,38,57,69,70,88,86,84,27,47,44,24,44,39,59,72,73,0,0,0,15,27,21
24031703302,4744,0.553161942361062,0.161044887641159,27,53,50,36,62,58,68,79,80,17,78,81,50,82,85,27,52,46,66,80,79,82,88,85,29,53,50,20,43,37,50,71,70,84,88,87,15,31,23
24031703401,5456,0.539088171277188,0.164133412135447,35,61,59,37,62,60,80,84,86,17,77,82,50,81,86,27,51,47,84,87,88,81,87,86,31,55,52,20,42,37,48,68,69,67,80,80,9,18,15
24031703402,3968,0.491935483870967,0.133152811144056,31,54,48,38,59,53,71,77,75,17,70,71,50,76,77,29,50,40,59,71,68,83,85,80,32,53,46,21,40,33,37,56,51,37,55,49,6,12,9
24031703403,3480,0.475718390804597,0.147155457397824,36,58,57,39,59,58,78,79,82,17,68,76,50,74,81,30,50,47,82,82,83,92,87,86,35,54,53,23,42,38,34,52,51,37,54,53,6,12,9
24031703404,3421,0.591201403098509,0.196790840017670,40,68,70,38,67,69,82,88,91,17,83,89,50,86,91,29,57,56,87,92,93,94,93,93,33,59,60,19,43,41,43,67,72,30,54,56,7,16,14
24031703501,6687,0.536037967996155,0.157614956463911,40,65,63,36,60,57,85,86,87,17,76,80,50,80,84,25,48,41,73,82,82,80,87,84,29,52,49,24,48,41,56,75,74,48,67,66,17,33,26
24031703502,2897,0.325854332067656,0.102942518645757,50,55,56,37,44,42,87,70,74,17,51,56,50,64,68,27,35,30,65,59,62,81,72,70,32,41,38,21,30,26,60,58,60,80,67,69,13,17,14
24031703601,4390,0.293532071928967,0.068324396297238,49,52,41,38,42,30,84,64,57,17,47,32,50,61,56,29,34,23,71,58,50,83,71,55,34,40,29,18,24,16,52,50,40,83,64,55,8,9,6
24031703602,2636,0.195650896299076,0.072553995273866,56,42,48,39,32,32,89,55,61,17,34,36,50,55,58,30,24,24,41,32,35,91,63,62,36,31,32,17,17,16,56,40,44,35,31,31,59,43,42
24031703701,4334,0.613356722927108,0.218242484136405,41,70,75,39,69,75,81,89,94,17,85,92,50,88,94,30,60,63,50,74,81,89,92,95,36,63,68,21,48,48,37,63,70,48,72,78,6,15,13
24031703702,4260,0.498119969818913,0.122613031054631,45,66,58,40,62,51,81,82,77,17,71,66,50,76,74,31,53,40,78,82,76,99,90,83,37,58,49,22,43,32,26,45,36,89,86,80,5,10,6
24031703800,3844,0.441028416790458,0.090570755951766,52,67,53,41,58,41,83,79,66,17,64,49,50,72,64,32,50,31,94,84,71,31,54,33,39,55,40,22,38,24,42,57,42,96,85,71,53,72,48
24031703901,3370,0.302449238947755,0.084707482668599,61,60,56,41,45,38,97,71,70,17,48,45,50,62,62,34,39,31,91,69,67,83,71,63,43,48,42,26,33,27,77,64,61,63,57,52,63,63,53
24031703902,7980,0.419438158503053,0.122949518629676,55,67,65,41,56,53,76,74,75,17,62,67,50,70,74,33,49,43,68,71,70,74,78,74,43,57,54,24,39,35,51,61,60,43,55,52,60,76,72
24031704000,7029,0.428421199525532,0.118711920179969,61,71,67,40,55,50,96,83,82,17,63,64,50,71,72,32,49,40,88,81,79,72,78,71,39,55,50,23,39,32,68,73,70,44,56,51,67,81,75
24031704100,5042,0.118246548369720,0.048878719847979,66,33,40,37,20,23,94,41,50,17,23,21,50,51,51,29,15,18,74,34,40,76,40,41,33,20,20,20,13,13,68,33,38,19,14,12,76,33,36
24031704200,2336,0.232234589041095,0.069056414638513,59,50,48,38,35,30,93,60,61,17,39,32,50,57,56,28,27,22,85,57,57,76,63,52,33,33,28,18,20,16,61,47,45,96,61,61,55,46,36
24031704300,4027,0.149468881722597,0.057358764540103,59,36,42,36,24,26,94,48,55,17,27,24,50,52,53,24,15,17,59,34,38,91,54,52,30,22,21,24,18,18,67,38,42,64,38,41,17,10,11
24031704401,3264,0.260102803705374,0.064629359651018,58,53,45,33,34,27,93,64,59,17,42,30,50,59,55,22,24,18,94,65,58,73,65,48,23,29,18,33,35,26,66,54,46,52,47,39,10,11,7
24031704403,1402,0.239300998573466,0.086640984958390,62,53,57,34,33,33,94,62,70,17,40,47,50,58,63,24,24,23,97,62,70,35,37,35,27,30,29,29,30,30,68,52,57,44,40,42,11,11,10
24031704404,5849,0.180764765331155,0.048044512534268,64,44,38,34,27,21,92,53,49,17,31,20,50,53,51,25,19,16,97,53,48,64,49,35,28,24,16,28,23,17,76,47,41,68,44,38,81,52,38
24031704501,3170,0.245759065577213,0.049521328303638,59,52,36,30,31,20,88,60,49,17,40,21,50,58,51,21,21,14,89,60,46,73,63,40,22,26,14,38,37,23,59,48,33,50,44,30,5,5,3
24031704502,2843,0.186422792824481,0.056158004971461,63,44,43,30,25,22,83,51,51,17,32,23,50,54,52,21,17,15,84,50,49,66,51,41,25,22,17,37,30,25,59,40,38,0,0,0,4,4,3
24031704503,4137,0.191864502441852,0.055634502436320,64,45,44,32,26,23,84,52,51,17,33,23,50,55,52,23,19,16,76,48,45,85,59,48,28,26,19,32,27,22,69,46,42,15,18,10,87,57,49
24031704600,5150,0.179722874580048,0.033512993133790,69,46,28,31,24,13,70,45,30,17,31,18,50,53,50,24,18,10,58,39,23,77,55,30,31,27,13,29,24,13,80,48,31,45,34,19,93,57,29
24031704700,3581,0.106813739179000,0.042248735236245,75,34,39,33,16,18,73,33,38,17,22,19,50,50,50,25,12,14,67,30,33,82,39,39,34,18,18,25,14,14,76,33,37,70,33,36,92,36,38
24031704803,3970,0.279093198992443,0.092371036287197,79,66,68,35,38,36,79,61,65,17,44,50,50,60,64,27,31,27,87,65,69,58,59,53,38,42,40,21,26,24,79,62,67,86,64,67,91,77,78
24031704804,1815,0.193663911845730,0.060346651212732,77,53,53,34,28,26,80,51,52,17,34,26,50,55,54,27,21,20,90,53,55,10,8,8,37,32,28,21,20,16,76,48,48,94,55,55,93,61,56
24031704805,2520,0.247817460317460,0.091069287309609,75,61,65,34,34,35,81,58,66,17,40,49,50,58,64,27,28,27,96,63,72,29,32,31,36,37,38,21,24,23,78,58,65,96,63,71,94,72,79
24031704806,4018,0.245925828790363,0.079973755305689,74,59,60,34,33,31,80,58,60,17,40,41,50,58,60,27,28,24,87,59,63,42,44,38,34,36,33,23,25,22,82,59,62,91,61,64,94,72,73
24031705000,4796,0.182697792790585,0.065743108383696,71,48,53,35,27,28,87,52,57,17,31,30,50,54,56,28,21,21,77,47,51,74,53,50,35,30,28,21,19,18,84,50,55,69,45,46,95,59,62
24031705100,5476,0.133541592921561,0.033414036982537,73,39,30,37,22,16,91,43,37,17,25,18,50,51,50,29,17,13,88,41,34,80,46,31,37,23,15,25,17,11,80,40,31,34,24,14,82,40,26
24031705200,3435,0.089681624779878,0.040837077498612,77,31,39,37,16,20,84,33,41,17,19,18,50,50,50,30,12,16,38,20,20,82,33,38,42,19,21,29,14,15,84,31,39,0,0,0,86,29,33
24031705300,1858,0.039827771797632,0.024602810682736,82,18,24,36,8,10,86,21,28,17,0,0,50,36,48,28,7,8,83,19,25,99,17,28,44,10,13,27,7,9,88,19,27,56,14,18,71,12,18
24031705400,2913,0.098180569859251,0.035742067674618,79,33,35,35,16,16,82,34,36,17,21,18,50,50,50,28,12,13,81,32,34,93,40,38,39,19,17,24,13,11,79,32,32,48,25,22,90,33,31
24031705501,2482,0.264705882352940,0.068748170664995,85,67,60,35,36,29,90,63,59,17,43,32,50,59,56,28,31,22,89,63,59,33,39,26,44,45,36,25,29,21,93,66,61,100,68,62,33,32,22
24031705502,4134,0.117803580067731,0.057061978459430,82,38,53,33,18,24,80,37,50,17,23,24,50,51,53,26,14,19,67,31,42,80,42,47,40,23,28,22,14,16,83,37,49,93,41,52,33,16,19
24031705601,3251,0.122270070747462,0.044149010984265,88,41,46,33,18,19,92,41,46,17,23,19,50,51,50,26,14,15,73,35,37,96,49,45,44,26,24,22,14,13,87,40,42,71,36,37,37,17,17
24031705602,4192,0.198234732824427,0.071483628589468,83,56,61,35,30,29,87,54,59,17,34,35,50,55,57,28,22,23,60,42,45,18,15,17,44,37,37,24,22,21,89,55,61,84,52,57,33,24,23
24031705701,4674,0.108248805740861,0.061437466213649,82,36,55,32,16,25,79,35,52,17,22,27,50,51,54,24,11,19,61,28,41,73,35,47,38,20,29,23,14,18,76,33,49,87,37,52,55,22,32
24031705702,4529,0.139103554868624,0.044811751457594,89,46,47,32,20,19,88,44,45,17,26,19,50,52,51,25,15,15,51,29,27,72,43,37,41,27,23,20,15,12,82,41,41,39,27,22,39,20,18
24031705800,6467,0.127936848846056,0.033031901282227,82,41,33,28,17,11,75,37,31,17,24,18,50,51,49,22,12,9,77,37,30,68,39,26,33,21,14,31,20,13,63,33,26,39,26,16,75,35,24
24031705901,4481,0.192256192814104,0.049622605194807,68,48,41,29,25,19,61,42,37,17,33,21,50,55,51,21,17,14,64,42,36,53,44,30,27,25,16,36,30,22,55,39,32,0,0,0,84,55,42
24031705902,4236,0.227573182247403,0.029698479300885,76,58,28,29,28,10,65,49,26,17,38,0,50,57,49,22,20,8,71,51,26,70,59,24,31,31,11,32,32,12,57,45,22,38,36,14,70,55,20
24031705903,4832,0.219091085498651,0.041071113733113,77,57,39,31,29,17,67,49,34,17,37,18,50,56,50,24,22,13,54,42,27,71,58,34,32,31,16,29,28,15,66,48,32,11,15,0,87,63,34
24031706005,4311,0.225220846375250,0.070563468009532,58,48,48,25,25,22,52,42,43,17,38,34,50,57,57,16,15,15,49,40,38,23,24,20,20,22,17,61,49,46,22,24,21,25,28,23,66,52,47
24031706007,6559,0.177977014048935,0.044676247344303,50,36,27,24,19,13,33,28,20,17,30,19,50,53,51,14,11,7,22,21,13,24,19,14,26,22,14,69,46,36,34,27,20,8,10,0,71,46,30
24031706008,5648,0.221232821036243,0.052322966430891,68,53,44,21,21,14,35,33,24,17,37,22,50,56,52,14,14,9,30,28,20,24,25,16,27,28,17,65,51,38,38,34,25,12,16,8,68,53,34
24031706009,5515,0.171307465478922,0.046664223299408,66,43,38,24,18,14,56,37,33,17,30,20,50,53,51,17,13,10,66,40,35,25,19,15,22,19,13,56,38,31,34,26,21,28,25,17,67,42,29
24031706010,2963,0.257678029024637,0.071003969611205,54,51,46,27,30,24,58,50,47,17,41,34,50,59,57,17,19,16,55,47,42,6,6,6,15,19,13,50,48,39,24,27,23,0,0,0,55,50,38
24031706011,5700,0.269068451042135,0.045021478055772,50,49,27,27,31,16,52,48,30,17,43,20,50,60,51,16,18,9,39,39,22,11,12,7,18,23,10,56,52,30,26,30,16,23,29,13,64,59,27
24031706012,3761,0.401621909066737,0.121885937738384,53,64,63,29,43,39,64,66,68,17,59,66,50,69,74,18,30,25,70,70,71,14,26,21,17,31,26,45,57,55,38,50,49,83,77,77,3,5,4
24031706013,2916,0.203256755405362,0.039410849108470,62,47,30,27,24,13,69,48,34,17,35,18,50,56,50,19,17,9,86,53,38,39,35,19,20,20,9,45,37,21,36,31,19,35,32,18,62,46,24
24033800102,2421,0.352903758777364,0.131855409974211,38,49,55,62,66,73,66,63,73,17,54,70,50,66,77,55,62,67,76,68,77,76,73,77,63,63,70,86,76,81,64,63,72,74,68,75,66,72,80
24033800103,2515,0.594234592445328,0.197676116891576,40,68,70,64,87,87,63,79,84,17,83,89,50,86,91,54,81,81,89,93,94,58,81,81,66,83,88,84,90,91,77,89,90,98,95,96,82,96,97
24033800105,3958,0.536331914479113,0.119231745158340,36,62,50,61,82,67,67,78,69,17,76,64,50,80,73,52,75,60,93,91,81,35,65,44,65,78,67,84,87,78,50,70,58,51,69,57,76,92,81
24033800106,3392,0.508402122641509,0.100940480861523,36,60,44,61,79,60,62,73,60,17,72,55,50,78,67,51,72,52,68,78,63,9,21,12,72,80,65,82,86,71,60,75,59,63,75,59,82,93,77
