ID,ACSTOTPOP,DEMOGIDX_2,DEMOGIDX_5,P_PM25,P_D2_PM25,P_D5_PM25,P_OZONE,P_D2_OZONE,P_D5_OZONE,P_DSLPM,P_D2_DSLPM,P_D5_DSLPM,P_CANCER,P_D2_CANCER,P_D5_CANCER,P_RESP,P_D2_RESP,P_D5_RESP,P_RSEIAIR,P_D2_RSEIAIR,P_D5_RSEIAIR,P_PTRAF,P_D2_PTRAF,P_D5_PTRAF,P_LDPNT,P_D2_LDPNT,P_D5_LDPNT,P_PNPL,P_D2_PNPL,P_D5_PNPL,P_PRMP,P_D2_PRMP,P_D5_PRMP,P_PTSDF,P_D2_PTSDF,P_D5_PTSDF,P_UST,P_D2_UST,P_D5_UST,P_PWDIS,P_D2_PWDIS,P_D5_PWDIS
24005408304,4870,0.116065894508520,0.053287148581520,43,23,22,83,41,39,49,29,25,52,53,52,31,33,32,41,21,20,60,32,31,24,13,14,41,22,19,16,9,8,89,43,44,0,0,0,4,2,2
24005408400,1265,0.197852175959239,0.054660538900009,42,36,22,84,59,41,63,49,33,52,59,52,31,41,32,44,37,22,69,49,36,34,29,18,38,34,18,12,12,6,95,61,47,62,49,34,4,4,2
24005408502,5657,0.128269191967826,0.080503187309947,43,25,32,87,46,60,54,34,42,52,54,58,31,34,38,42,24,31,23,16,18,48,26,33,46,27,34,19,12,15,70,39,51,0,0,0,1,0,0
24005408503,4336,0.462292435424354,0.149724528415350,42,64,53,86,85,84,62,74,71,52,79,75,31,63,56,43,66,55,55,69,64,37,62,45,43,65,58,17,35,25,92,85,83,71,78,73,3,7,5
24005408505,3769,0.177898646855930,0.078624911456936,43,33,31,87,57,59,64,47,48,52,57,58,31,39,38,40,31,29,51,38,38,46,35,31,47,37,34,21,19,16,77,51,53,58,44,43,2,2,2
24005408506,5107,0.512178778189258,0.136298199663078,42,68,49,86,88,81,57,75,65,52,82,72,31,66,53,43,70,51,23,45,31,26,52,31,44,69,55,17,38,23,82,85,77,0,0,0,1,3,2
24005408507,6462,0.416125038687712,0.131428960985332,43,62,49,86,83,80,60,70,65,52,76,70,31,60,51,43,62,49,24,41,31,17,30,21,44,63,53,17,32,22,86,80,77,27,47,35,1,2,0
24005408601,4409,0.126997486129422,0.070558155225627,44,25,29,88,46,54,71,40,48,52,54,56,31,34,36,40,22,26,40,25,28,89,46,51,50,29,33,24,15,17,58,34,39,65,38,43,3,2,2
24005408602,1955,0.141687979539642,0.057381668092259,44,28,24,89,50,45,78,46,43,52,54,53,31,36,32,41,25,22,54,34,30,85,48,41,52,34,27,28,20,16,55,36,31,71,44,39,4,3,2
24005408702,2378,0.068965517241379,0.055161044938412,45,15,24,89,28,44,75,26,40,52,46,52,31,27,32,41,13,21,95,31,47,61,18,30,52,16,26,29,10,16,56,21,31,0,0,0,2,0,0
24005408703,6943,0.167362811464784,0.066095987553060,43,31,27,87,55,51,67,46,43,52,56,55,31,38,34,39,28,24,84,50,49,28,20,18,46,35,28,20,17,13,82,51,49,28,26,18,3,3,2
24005408704,5474,0.110979174278407,0.059068106883235,44,23,25,88,42,46,68,36,39,52,53,53,31,33,33,40,20,22,83,39,44,20,11,13,49,25,26,25,14,15,54,29,32,32,20,19,2,0,0
24005408800,2602,0.133743274404304,0.078159697510796,44,26,32,88,48,59,78,44,55,52,54,57,31,35,38,41,24,29,93,47,59,81,44,51,51,31,37,28,19,22,58,35,43,74,43,51,3,2,2
24005408900,2595,0.068786127167630,0.046819528225362,42,15,19,84,27,35,53,19,24,52,46,51,31,27,31,43,13,18,36,14,17,58,17,25,41,12,16,14,5,6,92,31,41,35,15,16,3,0,2
